사업장명,업태구분명,도로명주소,좌표정보(X),좌표정보(Y)
배블(babble),커피숍,"서울특별시 양천구 은행정로7길 39, 1층 (신정동)",187137.277177525    ,446638.236515242    
컴포즈커피 가산스카이밸리점,커피숍,"서울특별시 금천구 가산디지털1로 142, 가산 더스카이밸리 1차 1층 106호 (가산동)",189603.222916543    ,441801.135064157    
이화상점 학생문화관점 카페,커피숍,"서울특별시 서대문구 이화여대길 52, 이화여자대학교 학생문화관 지하1층 (대현동)",195287.766418517    ,451143.789306014    
스타벅스 가산케이에스점,커피숍,"서울특별시 금천구 벚꽃로36길 30, 1층 110,111,112,113호 (가산동)",189767.416750179    ,442063.859932184    
이넬INEL,커피숍,"서울특별시 영등포구 대방천로 244, 1층 102호 (신길동)",192674.797877324    ,444039.226357481    
스케네 브라운,커피숍,"서울특별시 서대문구 가좌로 67, 1층 (홍은동)",193642.307355471    ,453003.296577295    
더빈스11(The Beans11),커피숍,서울특별시 서대문구 연희로2안길 7-3 (창천동),193536.298879402    ,450931.363410597    
늘봄카페 서초여성가족플라자 서초센터점,커피숍,"서울특별시 서초구 서운로26길 3, 서초4동열린문화센터(서초4동주민센터) 4층 (서초동)",201892.237153417    ,444495.585622281    
이디야커피 시흥유통센터점,커피숍,"서울특별시 금천구 시흥대로 88, 지상1층 (시흥동, 오복빌딩)",191426.770554647    ,437753.206548839    
빽다방 목동파리공원점,커피숍,"서울특별시 양천구 목동서로 65, 1층 102호 (목동, 목동가든스위트)",189212.074951921    ,448218.44369401     
페이브커피 이대김소영점,커피숍,"서울특별시 서대문구 이화여대길 42, 1층 (대현동)",195147.40273674     ,450735.341626576    
메가엠지씨커피 목동우성점,커피숍,"서울특별시 양천구 목동남로4길 2, 1층 105~107호 (신정동, 세양청마루2차 주상복합)",187954.189632117    ,445124.131588947    
센티멘트 Sentiment,커피숍,"서울특별시 서대문구 연희맛로 17-14, 2층 (연희동)",193666.340261212    ,451656.874893275    
컴포즈커피 신사세로수길점,커피숍,"서울특별시 강남구 논현로175길 58, 지상1층 101호 (신사동)",202066.602429708    ,446916.228862633    
