사업장명,업태구분명,도로명주소,좌표정보(X),좌표정보(Y)
스타벅스 호림아트센터,커피숍,"서울특별시 강남구 도산대로 317, 호림아트센터 1빌딩 지상1층 2호 (신사동)",203137.01           ,446712.105          
픽처레스크(picturesque),커피숍,"서울특별시 강남구 자곡로7길 32-2, 지상1층 (자곡동)",208533.790632497    ,441237.407384076    
스타벅스 한티역8번출구,커피숍,"서울특별시 강남구 도곡로 331, 지상1층 (역삼동)",204546.51           ,443810.11           
와플샵(신분당선 강남역),떡카페,"서울특별시 강남구 강남대로 지하 396, 신분당선 강남역 지하1층 24번매장호 (역삼동)",202422.251739571    ,443872.484453417    
바나프레소 강남역 신분당선점,커피숍,"서울특별시 강남구 강남대로 지하 396, 강남역 지하1층 B2-1호 (역삼동)",202422.251739571    ,443872.484453417    
살찐언니,커피숍,"서울특별시 강남구 강남대로118길 60, 지상2층 201호 (논현동)",202374.151036985    ,444994.635177489    
폴 바셋 파르나스몰점,커피숍,"서울특별시 강남구 테헤란로 521, 파르나스타워 지하1층 F-18호 (삼성동)",205314.159889285    ,445204.709309676    
주식회사 씨에스빈,커피숍,"서울특별시 강남구 언주로107길 25, 1층 (역삼동)",203223.039653642    ,445015.796992771    
매머드커피 압구정유림아트홀점,커피숍,"서울특별시 강남구 압구정로28길 49, 유림아트홀 지상1층 103호 (신사동)",202378.328280032    ,446784.387934893    
이디야 강남원에디션점,커피숍,"서울특별시 강남구 언주로 563, 원에디션강남 404동 201호 (역삼동)",203311.617902145    ,445074.121017059    
이스터서울,커피숍,"서울특별시 강남구 압구정로 343, 갤러리아백화점 명품관 WEST 지하1층 (압구정동)",203470.848439305    ,447369.579851952    
브루 앤 웨이브 랩,커피숍,"서울특별시 강남구 언주로 541, 에프앤에프사옥 본관 지상1층 (역삼동)",203496.053651929    ,444902.934532748    
팟 리추얼 신사,커피숍,"서울특별시 강남구 도산대로11길 31, 에스에이치스페이스 1층 (신사동)",201886.407424933    ,446372.890719399    
바나프레소 압구정SLP점,커피숍,"서울특별시 강남구 논현로163길 23, 1층 (신사동)",202250.825809454    ,446864.423384273    
눅(Nook),커피숍,"서울특별시 강남구 논현로63길 16, 지상1층 111호 (역삼동, 강남서해그랑블)",203389.562748068    ,443422.779316247    
유별,커피숍,"서울특별시 강남구 논현로10길 30, 지상1층 101호 (개포동)",204437.797140616    ,441421.796511143    
메가엠지씨커피 청담역점,커피숍,"서울특별시 강남구 학동로 503, 한성빌딩 1층 101호, 102호 (청담동)",204419.865127387    ,446331.027187983    
매머드커피 익스프레스 선릉501스퀘어점,커피숍,"서울특별시 강남구 삼성로91길 32, 1층 (삼성동)",204664.775          ,444937.195          
컴포즈커피 대치학원가점,커피숍,"서울특별시 강남구 도곡로77길 8, 지상1층 101호 (대치동)",205119.095305333    ,444078.878573262    
투썸플레이스 강남청담점,커피숍,"서울특별시 강남구 도산대로 509, 에스디바이오센서빌딩 지상1층 (청담동)",204256.531482769    ,446946.91293269     
매머드커피 익스프레스 대치영동대로점,커피숍,"서울특별시 강남구 영동대로 316, 새마을운동중앙회 지상1층 (대치동)",205876.035795612    ,444501.476739074    
한입의온도,커피숍,"서울특별시 강남구 역삼로 114, 현죽빌딩 지하1층 10호 (역삼동)",202731.25           ,443440.045000001    
준오아카데미,커피숍,"서울특별시 강남구 삼성로 710, 아카데미 준오 지상1층 (청담동)",204364.695          ,446370.57           
메가엠지씨커피 선릉현대타워점,커피숍,"서울특별시 강남구 테헤란로 423, 지상1층 101호 (삼성동, 현대타워)",204615.364777705    ,444884.394551474    
메가엠지씨커피 신사강남시장점,커피숍,"서울특별시 강남구 압구정로2길 46, 강남상가 제1층 16,23호 (신사동, ---------)",201757.494098748    ,446282.45446652     
은마커피,커피숍,"서울특별시 강남구 삼성로 212, 상가A동 1층 61호 (대치동, 은마아파트)",205707.089399978    ,443914.194133105    
사실빙 대치점,커피숍,"서울특별시 강남구 선릉로64길 6, 1층 1호 (대치동)",204610.633791187    ,443941.159102653    
카페런,커피숍,"서울특별시 강남구 논현로 507, 성지하이츠3차빌딩 지하1층 5호 (역삼동)",203111.505626639    ,444387.529455918    
차얌 대치점,커피숍,"서울특별시 강남구 삼성로 301, 하늘도시 1층 104호 (대치동)",205271.870934962    ,444100.854765157    
카페 암스테르담,커피숍,"서울특별시 강남구 학동로31길 13, 청양해운빌딩 지상1층 (논현동)",202732.319354174    ,445922.070154635    
홍콩다방 강남세브란스병원점,커피숍,"서울특별시 강남구 언주로 211, 강남세브란스병원 별관동 지하1층 (도곡동)",204044.915103209    ,443372.921666623    
복호두 삼성중앙역점,커피숍,"서울특별시 강남구 봉은사로 474, 1층 101호 (삼성동, 쌍용 플래티넘)",204512.650008205    ,445567.168343922    
메가엠지씨커피 선릉대우아이빌점,커피숍,"서울특별시 강남구 삼성로85길 42, 대우아이빌멤버스1층 104-A호 (대치동, 대치동대우아이빌멤버스)",204683.056501747    ,444714.322672044    
